,abv,adv_score,avg_rating,beer_desc,beer_name,beer_type,brewery,num_ratings,style_rank,total_rank
51,7%,100.0,4.62,,Cable Car,Wild Ale,The Lost Abbey,1118.0,4.0,48.0
52,9.5%,90.0,4.04,"HOPS: Tettnang ,
MALTS: Pilsner,
,
Fruity notes from imported Belgian yeast swirl through a precise souring. Pucker up to a bite of citrus laden tang ending with a delectable experience.	",Sour Monkey,Wild Ale,Victory Brewing Company - Downingtown,1125.0,966.0,5342.0
54,7.5%,94.0,4.23,"This barrel-aged wild ale is named for our San Francisco neighborhood and pays tribute to the Flanders Red style of beer. Aged in wine barrels, this lightly tart ale is brewed with California Rainier cherries using a house blend of wild yeasts, bacteria and SF sourdough yeast. Pair this complex ale with ripe figs & blue cheese or seafood bouillabaisse.	",Dogpatch Sour,Wild Ale,Almanac Beer Co.,1134.0,200.0,1414.0
56,7.3%,100.0,4.57,"Orange, lactic, and bursting with apricot aroma, West Ashley is built for consideration and conversation. While Ashley starts as a simple Saison, careful aging in French Oak Pinot Noir barrels with apricots, our house microbes, and warm encouragement transform her into a tart, complex and delectable beer.	",West Ashley,Wild Ale,Sante Adairius Rustic Ales,1164.0,9.0,92.0
57,7%,97.0,4.36,"Framboise de Amorosa is our first foray into the world of raspberry beers. It begins as Lost and Found ale and is sent into freshly emptied red wine barrels. The beer spends over a year in the wood during which time it is spiked with three additions of raspberries.,
,
The first sip produces a sweet start with a long drawn out sour finish. Some of the sweetness from the raspberries comes out before acidic notes join the mix. On the back end of the beer is a smoothing oak character which keeps the beer from becoming dull.	",Framboise De Amorosa,Wild Ale,The Lost Abbey,1176.0,69.0,542.0
58,11%,94.0,4.25,"Blended dark strong ale with sour cherries aged in American oak and French oak red wine barrels. ,
,
Once upon a time it was the most award winning Pizza Port beer of all time. Now it has found a new home at The Lost Abbey.,
,
A massive brown ale base that is made from four fermentable sugars including malted barley, raisins, candi sugar and sour cherries, this beer is fully-fermented before being placed in bourbon barrels where the beer ages for one year with the sour cherries and the wild Brettanomyces yeast that we inoculate the barrels.	",Cuvee De Tomme,Wild Ale,The Lost Abbey,1264.0,174.0,1205.0
59,8%,95.0,4.28,A rye beer aged in French oak (Robert Craig Cabernet Sauvignon) with blackberries and Brettanomyces.	,Juliet,Wild Ale,Goose Island Beer Co.,1632.0,132.0,968.0
60,8.5%,97.0,4.36,"This NW style sour blond ale was barrel aged for up to nine months, then aged on fresh apricot for an additional six months. Aromas of sweet apricot blossoms and tart fruit are present as you draw the glass near. Deep, rich apricot flesh, then tart apricot notes dance on the palate and lead to a sweet apricot flesh finish with a lingering fruit tartness.	",Apricot Ale,Wild Ale,Cascade Brewing / Raccoon Lodge & Brewpub,1807.0,67.0,509.0
62,9.3%,99.0,4.47,"Sang Noir is a blend of imperial spiced red ales aged in bourbon and wine barrels with Bing cherries for up to two years. Pouring a deep mahogany brown, this Northwest sour ale features rich flavors of dark roast malts, bourbon, black cherries and port wine. ",Sang Noir,Wild Ale,Cascade Brewing / Raccoon Lodge & Brewpub,1840.0,19.0,225.0
64,5.8%,100.0,4.62,"Atrial Rubicite is made from well water, barley, wheat, hops, farmhouse yeast, native yeast from the Texas hill country, souring bacteria and raspberries. It’s 5.8% alcohol by volume, has a finishing gravity of 1.005 and is 3.36 pH. It is unfiltered, unpasteurized and 100% bottle conditioned. Atrial Rubicite is our first beer to be packaged exclusively in 500 ml bottles.	",Atrial Rubicite,Wild Ale,Jester King Brewery,1947.0,3.0,45.0
65,7.5%,96.0,4.32,A sour beer barrel-aged for two years and then dry-hopped with Amarillo and Cascade hops for 8 days.	,Le Terroir,Wild Ale,New Belgium Brewing Company,2463.0,88.0,689.0
66,7.2%,95.0,4.26,"Tart of Darkness is a traditional stout that we aged in used oak barrels from The Bruery that had previously housed beers such as Cuivre™ or Black Tuesday®. We then brought them over to Bruery Terreux, added our special blend of souring bacterias and wild yeasts and watched nature take its course. The result is a perfectly tart yet awesomely dark and roasty, sour stout. Not a style you will see very often, and in our opinion, not a style seen often enough. This unique stout has notes of tart plums, roasted coffee, vanilla and oak.	",Tart Of Darkness,Wild Ale,Bruery Terreux,2502.0,155.0,1085.0
68,7.7%,96.0,4.33,"We brewed this ale with around 40% rye as a base malt and let our sour yeast and bacteria eat away at it in oak barrels for over a year creating a sour ale with a complex character of rye spice, oak and a subtle funk.	",Sour In The Rye,Wild Ale,Bruery Terreux,2530.0,84.0,630.0
70,7.3%,92.0,4.12,"Petrus Aged Pale is a 100% beer from our foeders. Michael Jackson, the beer hunter, chose the name in the late 1990s – and he was the first to sell this beer in his beer clubs. Today, it is still the reference for sour beers in the US. Petrus Aged Pale has won multiple gold medals in beer competitions worldwide. Moreover, ever since the start of the brewery, the beer has been used as a blending-beer with other beers to give them fresh, slightly sour flavors and aromas.,
,
Aged in Oak foeders for over 24 months	",Petrus Aged Pale,Wild Ale,De Brabandere,2551.0,515.0,3001.0
71,6%,100.0,4.59,"This beer is very unique and inspired by breweries in the Lambic region of Belgium and, especially, our friends at Cantillon. It is 100% spontaneously fermented, meaning yeast is not added. Once the beer is brewed, it is transferred to a cool-ship or “horny” tank located in our barrel room at the pub. There it sits overnight and collects whatever funky wild yeast and bacteria may be living in the room. The next day it is transferred to oak wine barrels where it ferments wildly and ages for a few months. The end result is a wild, spontaneously fermented, sour, and tasty hand-crafted beer!	",Beatification,Wild Ale,Russian River Brewing Company,2833.0,7.0,68.0
72,7.5%,99.0,4.48,"A blonde ale fermented with a special strain of yeast, then aged in French oak chardonnay barrels. Flavors of wine and oak absorb into the brew throughout twelve months of aging. During this aging process, a secondary fermentation occurs using a yeast strain disliked by most brewers and winemakers called Brettanomyces.	",Temptation,Wild Ale,Russian River Brewing Company,3842.0,18.0,196.0
73,10%,100.0,4.53,"Dark ale aged in Cabernet Sauvignon barrels with Brett, Lacto, Pedio, and currants	",Consecration,Wild Ale,Russian River Brewing Company,5555.0,10.0,122.0
74,7.75%,100.0,4.6,"Brown Ale aged in used Pinot Noir barrels from local Sonoma County wineries. It is aged for about 12 months with sour cherries, brettanomyces, lactobacillus, and pediococcus added to each barrel. Flavors from the cherries, Pinot Noir and oak balance each other nicely with a little funk from the brett.	",Supplication,Wild Ale,Russian River Brewing Company,6648.0,5.0,52.0
75,5.2%,77.0,3.28,,Fix Dark,Lager - European Dark,Hellenic Breweries Of Atalanti S.A.,52.0,101.0,47236.0
76,2.5%,70.0,2.79,"Doesn't fit to Flanders Oud Bruin beer style category. Fits to Oud Bruin from Netherlands. It means uncomplicated in aroma and taste, low alcohol (usually 2,5% to 3,5% by ABV), semi-dark (amber) to dark lager with dominant sweetness.,
,
Micheal Jackson translates Oud Bruin from Netherlands like Old Brown Lager.	",Heineken Oud Bruin,Lager - European Dark,Heineken Nederland B.V.,53.0,129.0,49128.0
78,7%,82.0,3.7,"3 Best Friends incorporates Madagascar vanilla, cacao nibs, and Honduran coffee. It's the black sheep of the bunch-in a delicious, well-lagered fashion.	",3 Best Friends,Lager - European Dark,Sudwerk Brewing Company,53.0,36.0,35828.0
79,5%,85.0,3.9,,Luna Jo Cold Brew Coffee Lager,Lager - European Dark,Deschutes Brewery,54.0,14.0,19376.0
81,5.9%,78.0,3.41,,Nightfall Lager,Lager - European Dark,Pecatonica Beer Company,57.0,83.0,45964.0
82,4.5%,76.0,3.28,Cameron’s Dark 266 is a rare breed of beer that was originally brewed as a one-off draught for one of our specialty beer bars. The demand for an encore was so persistent that that we had to bottle it and share it with everyone. Specialty imported hops and dark malts result in a chestnut coloured lager with a wonderful lacy head. Taste the deliciousness of a North American Lager with the complexity of a German Schwarzbier.	,Dark 266,Lager - European Dark,Cameron's Brewing Co.,60.0,106.0,47459.0
83,9.3%,84.0,3.79,"The legend returns! Beware the Goatman of White Rock Lake, a territorial terror who doesn't like anybody loitering in his neck of the woods. In honor of this hairy and horned hybrid, we present a dark and unique brew as bitter as his attitude.,
,
Big and bold, this melding of a West Coast Black IPA and a German Schwarzbier has a sticky, dank bite, balanced by a smooth, roasted malt body. It's enough to curl your toes – or maybe your hooves.	",Goatman,Lager - European Dark,Lakewood Brewing Company,60.0,20.0,28924.0
84,5.5%,76.0,3.23,,Asahi Dry Black,Lager - European Dark,Asahi Breweries Ltd,62.0,110.0,47861.0
86,5%,87.0,4.03,"Unfiltered black lager. Dry + racy, restrained notes of bread + cocoa.	",Bones Shirt,Lager - European Dark,Suarez Family Brewery,64.0,8.0,9754.0
88,5.5%,73.0,3.05,,Cusqueña Negra,Lager - European Dark,Union De Cervecerias Peruanas Backus y Johnston,64.0,120.0,48654.0
90,4.8%,81.0,3.62,,Primator Dark Lager,Lager - European Dark,Pivovar Náchod a.s.,65.0,48.0,40860.0
91,6.2%,77.0,3.33,,Bohemia,Lager - European Dark,Sociedade Central de Cervejas,68.0,95.0,47155.0
93,4.5%,79.0,3.44,,Lev Black Lion,Lager - European Dark,Měšťanský pivovar Havlíčkův Brod,69.0,81.0,45838.0
95,5%,73.0,3.09,"Sweet and honey/molasses flavour, slightly hopped with fuller mouth feel.	",Honey Brown Lager,Lager - European Dark,Big Rock Brewery,69.0,119.0,48565.0
96,4.8%,79.0,3.48,,Staropramen Granat Beer,Lager - European Dark,Pivovary Staropramen,70.0,75.0,45181.0
97,5%,80.0,3.54,,Yebisu Black Beer,Lager - European Dark,Sapporo Breweries Ltd.,71.0,58.0,43858.0
99,4.6%,91.0,4.26,,U Fleku Dark Lager,Lager - European Dark,U Fleků Pivovar a Restaurace,72.0,2.0,2933.0
101,5.3%,77.0,3.36,,Obolon Oksamytove (Deep Velvet),Lager - European Dark,Obolon Brewery,76.0,93.0,46999.0
103,4.8%,88.0,4.06,"Nomad is a czech-style dark lager, or tmavé pivo, constructed with deliberate attention to detail, tradition, and patience.,
,
It is brewed with authentic floor malted bohemian pilsner malt, german dark malts, and carefully selected noble hops. A laborious mashing and conditioning process yields a complex texture and malt profile.,
,
Nomad pours a nearly pitch black in the glass. Through extended, natural conditioning, not a hint of haze remains. An aggressive pour yields a thick and billowing head that clings to the side of the glass as you work your way through the pour. It is the most appealing looking beer we have made in recent memory. We taste mild chocolate, brown bread, hay, and earthy noble hops. It goes down remarkably easy while leaving a pleasant and lingering impression on your palate. ,
,
The mark of a great beer is the ease in which it drinks in conjunction with potent, appealing, and incisive flavors. To that end, we are extraordinarily proud to offer Nomad to you for your enjoyment. I’m not sure if there is another beer we will collectively drink more of this autumn at Tree House.	",Nomad,Lager - European Dark,Tree House Brewing Company,77.0,4.0,7717.0
105,5%,82.0,3.64,,Sapporo Premium Black Beer,Lager - European Dark,Sapporo Breweries Ltd.,82.0,44.0,40371.0
107,4.1%,74.0,3.16,,Sagres Cerveja Preta (Dark),Lager - European Dark,Sociedade Central de Cervejas,83.0,116.0,48434.0
109,5%,78.0,3.39,,DAB Dark Beer,Lager - European Dark,Dortmunder Actien Brauerei / DAB,87.0,87.0,46825.0
111,4%,87.0,4.0,,Black Lager (Černé Pivo),Lager - European Dark,Notch Brewing,90.0,7.0,10146.0
113,5%,74.0,3.16,,Super Bock Stout,Lager - European Dark,Unicer União Cervejeira S.A.,91.0,117.0,48503.0
115,4.6%,69.0,2.86,,Faxe Amber,Lager - European Dark,Royal Unibrew A/S,91.0,130.0,49271.0
117,4.4%,82.0,3.68,,Staropramen Černý,Lager - European Dark,Pivovary Staropramen,92.0,35.0,38160.0
119,5.7%,84.0,3.79,,Žatec Dark Lager,Lager - European Dark,Žatecký Pivovar,108.0,18.0,28739.0
121,5.3%,83.0,3.68,,Dark Horse Lager,Lager - European Dark,Elevator Brewery & Draught Haus,129.0,34.0,38691.0
123,4.9%,80.0,3.51,"We are pleased to share our innovative black Pilsner, Pils-Noir. Made from Pearl (Winter) barley, malted for us by Munton’s, CaraMalt and Crystal malts, prepared using our unique, husk-free milling process. We then naturally darken the beer using the classic Czech technique of decoction mashing. Hopped with Oregon Willamette, Mt. Hood and Washington hops, and finished with noble Czech Saaz for a fine aroma.	",Pils Noir,Lager - European Dark,Susquehanna Brewing Company,137.0,68.0,45478.0
125,4.5%,81.0,3.61,Praga Dark are brewed under the supervision of the Brevnov Monastery Brewmasters. The beer is brewed in mid-sized local Czech breweries with the use of the original receipt and best quality Czech ingredients. There is always guarantee of the consistent best quality of our beers.	,Praga Dark Lager,Lager - European Dark,První Budějovický Pivovar Samson,155.0,45.0,42736.0
127,5.75%,84.0,3.73,"This was our original recipe back in 2006. We wanted to create a nice dark lager, nutty from roasted malts (no nuts!) that is clean and easy drinking. To this day, it's one of our favorites. A mix of German Munich malts and good ol' American Williamette hops. Simply good. That's KelSo beer.	",Kelso Nut Brown Lager,Lager - European Dark,Greenpoint Beerworks / Kelso of Brooklyn,156.0,23.0,34881.0
129,5.4%,76.0,3.29,,Alhambra Negra,Lager - European Dark,"Grupo Cervezas Alhambra, SL",158.0,108.0,48186.0
130,5%,80.0,3.52,"Midnight Wheat malt gives this complex lager its dark brown color while additions of roasted Indio-Hispano® blue corn create both a lighter body and unique, toasty flavor. German Pilsner malt and Saaz hops round out this dark lager producing a crisp, clean finish and smooth drinkability that is perfect for any occasion.	",El Steinber Dark Lager,Lager - European Dark,Anderson Valley Brewing Company,165.0,62.0,45434.0
132,5.1%,84.0,3.78,,Bernard Cerne (Dark),Lager - European Dark,Bernard Family Brewery,166.0,17.0,29616.0
133,7%,86.0,3.85,"A new holiday beer for our Limited Edition Lager series. LTD 06 is a black bock that is lush and full bodied with hints of roast, coffee, and chocolate in the aroma followed by flavors of caramel and figs with a long creamy smooth finish. LTD 06 is brewed as a Czech style Cerné Speciální with 2 row Pale, Munich, Caramel, and Chocolate Malts and hopped with Santiam and Perle hops.	",LTD Series - 06,Lager - European Dark,Full Sail Brewing Company,179.0,13.0,21560.0
134,8%,87.0,3.91,"""A high gravity American dark lager aged on anise seed, Madagascar bourbon vanilla beans and fresh chocolate mint leaves.""	",Black Licorice Lager,Lager - European Dark,Short's Brewing Company,185.0,9.0,15121.0
136,6.5%,76.0,3.33,Beerlao Dark is an award winning beer brewed with the finest ingredients and roasted malt. A full-bodied tasted experience with a golden brown color.	,Beerlao Dark,Lager - European Dark,Lao Brewery Co.,195.0,103.0,48023.0
138,6.5%,73.0,3.13,,Efes Dark,Lager - European Dark,Anadolu Efes Brewery,195.0,122.0,48929.0
